anime_id,name,genre,type,episodes,rating,members,cluster
32281,Kimi no Na wa.,"['Drama', 'Romance', 'School', 'Supernatural']",Movie,1,9.37,200630,3
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",TV,64,9.26,793665,7
28977,Gintama°,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,51,9.25,114262,1
9253,Steins;Gate,"['Sci-Fi', 'Thriller']",TV,24,9.17,673572,4
9969,Gintama&#039;,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,51,9.16,151266,1
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,10,9.15,93351,3
11061,Hunter x Hunter (2011),"['Action', 'Adventure', 'Shounen', 'Super Power']",TV,148,9.13,425855,1
820,Ginga Eiyuu Densetsu,"['Drama', 'Military', 'Sci-Fi', 'Space']",OVA,110,9.11,80679,7
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Movie,1,9.1,72534,1
15417,Gintama&#039;: Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,13,9.11,81109,1
4181,Clannad: After Story,"['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']",TV,24,9.06,456749,3
28851,Koe no Katachi,"['Drama', 'School', 'Shounen']",Movie,1,9.05,102733,3
918,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",TV,201,9.04,336376,1
2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",TV,25,8.98,572888,1
28891,Haikyuu!! Second Season,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,25,8.93,179342,3
199,Sen to Chihiro no Kamikakushi,"['Adventure', 'Drama', 'Supernatural']",Movie,1,8.93,466254,3
23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",TV,22,8.92,416397,3
24701,Mushishi Zoku Shou 2nd Season,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,10,8.88,75894,3
12355,Ookami Kodomo no Ame to Yuki,"['Fantasy', 'Slice of Life']",Movie,1,8.84,226193,3
1575,Code Geass: Hangyaku no Lelouch,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",TV,25,8.83,715151,1
263,Hajime no Ippo,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,75,8.83,157670,3
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Drama', 'Historical', 'Martial Arts', 'Romance', 'Samurai']",OVA,4,8.83,129307,1
1,Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,8.82,486824,7
30276,One Punch Man,"['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']",TV,12,8.82,552458,1
164,Mononoke Hime,"['Action', 'Adventure', 'Fantasy']",Movie,1,8.81,339556,3
7311,Suzumiya Haruhi no Shoushitsu,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",Movie,1,8.81,240297,3
17074,Monogatari Series: Second Season,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",TV,26,8.8,205959,1
21939,Mushishi Zoku Shou,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,10,8.8,101351,3
457,Mushishi,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,26,8.78,300030,3
2001,Tengen Toppa Gurren Lagann,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",TV,27,8.78,562962,7
245,Great Teacher Onizuka,"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life']",TV,43,8.77,268487,3
32983,Natsume Yuujinchou Go,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.76,38865,3
5258,Hajime no Ippo: New Challenger,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,26,8.75,88995,3
28957,Mushishi Zoku Shou: Suzu no Shizuku,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Movie,1,8.75,32266,3
11665,Natsume Yuujinchou Shi,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.75,98431,3
431,Howl no Ugoku Shiro,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Movie,1,8.74,333186,3
11741,Fate/Zero 2nd Season,"['Action', 'Fantasy', 'Supernatural', 'Thriller']",TV,12,8.73,340973,4
31757,Kizumonogatari II: Nekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Movie,1,8.73,34347,1
19,Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,74,8.72,247562,4
12365,Bakuman. 3rd Season,"['Comedy', 'Drama', 'Romance', 'Shounen']",TV,25,8.71,133620,3
1535,Death Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']",TV,37,8.71,1013917,4
32366,Gintama°: Aizome Kaori-hen,"['Comedy', 'Parody']",OVA,2,8.69,16947,3
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"['Action', 'Comedy', 'School', 'Shounen']",TV,25,8.68,176475,3
20583,Haikyuu!!,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,25,8.68,284498,3
19647,Hajime no Ippo: Rising,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,25,8.68,66756,3
4282,Kara no Kyoukai 5: Mujun Rasen,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Thriller']",Movie,1,8.68,111074,4
10379,Natsume Yuujinchou San,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.67,102322,3
22135,Ping Pong The Animation,"['Psychological', 'Seinen', 'Sports']",TV,11,8.67,97187,4
21329,Mushishi Special: Hihamukage,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Special,1,8.66,49036,3
31043,Boku dake ga Inai Machi,"['Mystery', 'Psychological', 'Seinen', 'Supernatural']",TV,12,8.65,402381,4
7785,Yojouhan Shinwa Taikei,"['Mystery', 'Psychological', 'Romance']",TV,11,8.65,122531,4
3297,Aria The Origination,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']",TV,13,8.64,56162,3
30709,Kamisama Hajimemashita: Kako-hen,"['Comedy', 'Demons', 'Fantasy', 'Shoujo', 'Supernatural']",OVA,4,8.64,33422,1
6114,Rainbow: Nisha Rokubou no Shichinin,"['Drama', 'Historical', 'Seinen', 'Thriller']",TV,26,8.64,139474,4
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"['Drama', 'Fantasy', 'Psychological', 'Thriller']",TV,25,8.64,355839,4
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",Movie,1,8.64,82253,7
5300,Zoku Natsume Yuujinchou,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.64,114173,3
